Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Gross Revenue,Date,Time,Payment,Unit Cost
573-98-8548,C,Nagpur,Member,Female,Fashion accessories,31.9,1,1.6,33.5,01-05-2019,12:40,Ewallet,6.7
144-51-6085,A,Chennai,Normal,Female,Home and lifestyle,42.91,5,2.15,225.28,01-05-2019,17:29,Ewallet,9.01
339-12-4827,B,Mumbai,Member,Female,Fashion accessories,73.96,1,3.7,77.66,01-05-2019,11:32,Credit card,11.09
841-18-8232,B,Mumbai,Normal,Female,Food and beverages,71.2,1,3.56,74.76,01-05-2019,20:40,Credit card,14.24
801-88-0346,C,Nagpur,Normal,Female,Fashion accessories,76.06,3,3.8,239.59,01-05-2019,20:30,Credit card,17.49
801-88-0346,C,Nagpur,Normal,Female,Health and beauty,78.89,7,3.94,579.84,01-05-2019,19:48,Ewallet,17.36
489-82-1237,A,Chennai,Normal,Female,Electronic accessories,93.88,7,4.69,690.02,01-05-2019,11:51,Credit card,15.96
393-65-2792,C,Nagpur,Normal,Male,Food and beverages,89.48,10,4.47,939.54,01-06-2019,12:46,Credit card,13.42
704-11-6354,A,Chennai,Member,Male,Home and lifestyle,58.9,8,2.95,494.76,01-06-2019,11:23,Cash,10.6
490-29-1201,A,Chennai,Normal,Female,Sports and travel,15.34,1,0.77,16.11,01-06-2019,11:09,Cash,3.07
834-25-9262,C,Nagpur,Normal,Female,Fashion accessories,81.68,4,4.08,343.06,01-06-2019,12:12,Cash,12.25
662-72-2873,A,Chennai,Normal,Female,Food and beverages,40.94,5,2.05,214.94,01-06-2019,13:58,Ewallet,8.6
826-58-8051,B,Mumbai,Normal,Male,Home and lifestyle,62.19,4,3.11,261.2,01-06-2019,19:46,Ewallet,13.68
729-06-2010,B,Mumbai,Member,Male,Health and beauty,80.47,9,4.02,760.44,01-06-2019,11:18,Cash,18.51
852-82-2749,A,Chennai,Normal,Male,Sports and travel,64.59,4,3.23,271.28,01-06-2019,13:35,Ewallet,13.56
846-10-0341,A,Chennai,Normal,Female,Fashion accessories,42.57,7,2.13,312.89,01-06-2019,11:51,Cash,9.79
232-16-2483,C,Nagpur,Member,Female,Sports and travel,68.12,1,3.41,71.53,01-07-2019,12:28,Ewallet,14.99
109-28-2512,B,Mumbai,Member,Female,Fashion accessories,97.61,6,4.88,614.94,01-07-2019,15:01,Ewallet,18.55
799-71-1548,A,Chennai,Member,Male,Electronic accessories,77.72,4,3.89,326.42,01-07-2019,16:11,Credit card,16.32
126-54-1082,A,Chennai,Member,Female,Home and lifestyle,21.54,9,1.08,203.55,01-07-2019,11:44,Credit card,3.66
566-19-5475,B,Mumbai,Normal,Male,Fashion accessories,47.97,7,2.4,352.58,01-07-2019,20:52,Cash,11.03
526-86-8552,C,Nagpur,Member,Female,Home and lifestyle,21.82,10,1.09,229.11,01-07-2019,17:36,Cash,3.71
889-04-9723,B,Mumbai,Member,Female,Food and beverages,89.14,4,4.46,374.39,01-07-2019,12:20,Credit card,16.05
541-48-8554,A,Chennai,Normal,Male,Sports and travel,60.95,9,3.05,575.98,01-07-2019,12:08,Credit card,10.36
390-31-6381,C,Nagpur,Normal,Male,Food and beverages,27.22,3,1.36,85.74,01-07-2019,12:37,Cash,4.36
189-08-9157,C,Nagpur,Normal,Female,Fashion accessories,31.73,9,1.59,299.85,01-08-2019,16:17,Credit card,5.71
663-86-9076,C,Nagpur,Member,Female,Food and beverages,68.54,8,3.43,575.74,01-08-2019,15:57,Ewallet,11.65
571-94-0759,B,Mumbai,Member,Female,Food and beverages,74.6,10,3.73,783.3,01-08-2019,20:55,Cash,17.16
750-57-9686,C,Nagpur,Normal,Female,Home and lifestyle,45.38,4,2.27,190.6,01-08-2019,13:48,Credit card,6.81
192-98-7397,C,Nagpur,Normal,Male,Fashion accessories,12.78,1,0.64,13.42,01-08-2019,14:11,Ewallet,2.3
674-15-9296,A,Chennai,Normal,Male,Sports and travel,37.14,5,1.86,194.99,01-08-2019,13:05,Ewallet,8.54
387-49-4215,B,Mumbai,Member,Female,Sports and travel,48.5,3,2.43,152.78,01-08-2019,12:50,Cash,11.16
484-22-8230,C,Nagpur,Member,Female,Fashion accessories,51.89,7,2.59,381.39,01-08-2019,20:08,Cash,8.82
241-96-5076,B,Mumbai,Member,Female,Home and lifestyle,49.1,2,2.46,103.11,01-08-2019,12:58,Credit card,11.29
767-97-4650,B,Mumbai,Member,Female,Sports and travel,64.83,2,3.24,136.14,01-08-2019,11:59,Credit card,14.91
442-44-6497,C,Nagpur,Member,Male,Home and lifestyle,55.57,3,2.78,175.05,01-08-2019,11:42,Credit card,8.34
457-13-1708,B,Mumbai,Member,Male,Fashion accessories,65.23,10,3.26,684.92,01-08-2019,19:07,Credit card,11.09
257-60-7754,A,Chennai,Normal,Female,Electronic accessories,50.23,4,2.51,210.97,01-08-2019,17:12,Cash,9.04
845-94-6841,C,Nagpur,Member,Female,Food and beverages,72.88,9,3.64,688.72,01-08-2019,19:38,Cash,10.93
840-76-5966,A,Chennai,Member,Male,Sports and travel,12.76,2,0.64,26.8,01-08-2019,18:06,Ewallet,2.17
124-31-1458,A,Chennai,Member,Female,Electronic accessories,79.59,3,3.98,250.71,01-08-2019,14:30,Cash,12.73
631-34-1880,C,Nagpur,Member,Male,Food and beverages,24.31,3,1.22,76.58,01-08-2019,19:09,Credit card,4.38
490-95-0021,B,Mumbai,Member,Female,Food and beverages,33.21,10,1.66,348.71,01-08-2019,14:25,Ewallet,4.98
263-10-3913,C,Nagpur,Member,Male,Fashion accessories,49.04,9,2.45,463.43,01-09-2019,14:20,Credit card,7.36
263-10-3913,C,Nagpur,Normal,Female,Sports and travel,95.44,10,4.77,"1,002.12",01-09-2019,13:45,Cash,18.13
370-96-0655,C,Nagpur,Normal,Female,Fashion accessories,49.32,6,2.47,310.72,01-09-2019,13:46,Ewallet,9.86
343-75-9322,B,Mumbai,Member,Female,Sports and travel,11.85,8,0.59,99.54,01-09-2019,16:34,Cash,2.13
288-62-1085,A,Chennai,Member,Male,Fashion accessories,38.54,5,1.93,202.34,01-09-2019,13:34,Ewallet,8.48
305-89-2768,B,Mumbai,Member,Female,Home and lifestyle,21.9,3,1.1,68.99,01-09-2019,18:43,Ewallet,4.16
867-47-1948,C,Nagpur,Normal,Female,Home and lifestyle,15.8,10,0.79,165.9,01-09-2019,12:07,Cash,2.84
189-40-5216,C,Nagpur,Normal,Male,Electronic accessories,96.37,7,4.82,708.32,01-09-2019,11:40,Cash,14.46
665-32-9167,A,Chennai,Member,Female,Health and beauty,36.26,2,1.81,76.15,01-10-2019,17:15,Credit card,6.53
640-49-2076,B,Mumbai,Normal,Male,Sports and travel,83.78,8,4.19,703.75,01-10-2019,14:49,Cash,18.43
873-51-0671,A,Chennai,Member,Female,Sports and travel,21.98,7,1.1,161.55,01-10-2019,16:42,Ewallet,5.06
744-02-5987,A,Chennai,Member,Male,Home and lifestyle,78.38,6,3.92,493.79,01-10-2019,14:16,Ewallet,15.68
603-07-0961,C,Nagpur,Member,Male,Electronic accessories,74.79,5,3.74,392.65,01-10-2019,11:34,Cash,17.2
241-11-2261,B,Mumbai,Normal,Female,Fashion accessories,79.86,7,3.99,586.97,01-10-2019,10:33,Credit card,16.77
887-42-0517,C,Nagpur,Normal,Female,Sports and travel,83.14,7,4.16,611.08,01-10-2019,10:31,Credit card,13.3
226-34-0034,B,Mumbai,Normal,Female,Electronic accessories,13.78,4,0.69,57.88,01-10-2019,11:10,Ewallet,2.2
577-34-7579,C,Nagpur,Member,Male,Food and beverages,50.49,9,2.52,477.13,01-10-2019,17:16,Cash,10.1
746-68-6593,C,Nagpur,Member,Female,Sports and travel,87.16,2,4.36,183.04,01-11-2019,14:29,Credit card,20.05
478-06-7835,A,Chennai,Normal,Male,Fashion accessories,89.69,1,4.48,94.17,01-11-2019,11:20,Ewallet,19.73
540-11-4336,A,Chennai,Normal,Male,Food and beverages,24.94,9,1.25,235.68,01-11-2019,16:49,Credit card,5.74
289-15-7034,A,Chennai,Member,Male,Sports and travel,82.33,4,4.12,345.79,01-11-2019,10:37,Credit card,16.47
732-67-5346,A,Chennai,Normal,Male,Food and beverages,13.79,5,0.69,72.4,01-11-2019,19:07,Credit card,2.62
732-67-5346,A,Chennai,Member,Male,Food and beverages,48.5,6,2.43,305.55,01-11-2019,13:57,Ewallet,7.28
592-46-1692,C,Nagpur,Member,Female,Food and beverages,36.77,7,1.84,270.26,01-11-2019,20:10,Cash,6.25
406-46-7107,A,Chennai,Normal,Female,Home and lifestyle,96.52,6,4.83,608.08,01-11-2019,11:52,Cash,20.27
381-20-0914,A,Chennai,Member,Female,Fashion accessories,20.01,9,1,189.09,01-12-2019,15:48,Credit card,3.6
704-48-3927,A,Chennai,Member,Male,Electronic accessories,88.67,10,4.43,931.04,01-12-2019,14:50,Ewallet,15.07
659-36-1684,C,Nagpur,Member,Male,Sports and travel,57.12,7,2.86,419.83,01-12-2019,12:02,Credit card,11.42
848-07-1692,B,Mumbai,Normal,Female,Health and beauty,57.22,2,2.86,120.16,01-12-2019,17:13,Ewallet,10.3
296-11-7041,B,Mumbai,Member,Female,Health and beauty,27.07,1,1.35,28.42,01-12-2019,20:07,Credit card,6.23
647-50-1224,A,Chennai,Normal,Female,Fashion accessories,29.42,10,1.47,308.91,01-12-2019,16:23,Ewallet,5.59
852-62-7105,B,Mumbai,Normal,Female,Fashion accessories,83.25,10,4.16,874.13,01-12-2019,11:25,Credit card,17.48
751-41-9720,C,Nagpur,Normal,Male,Home and lifestyle,97.5,10,4.88,"1,023.75",01-12-2019,16:18,Ewallet,17.55
197-77-7132,B,Mumbai,Member,Male,Electronic accessories,91.56,8,4.58,769.1,01-12-2019,18:22,Ewallet,16.48
751-15-6198,B,Mumbai,Normal,Male,Sports and travel,23.01,6,1.15,144.96,01-12-2019,16:45,Ewallet,4.83
533-66-5566,B,Mumbai,Normal,Female,Home and lifestyle,51.07,7,2.55,375.36,01-12-2019,11:42,Cash,11.75
732-94-0499,C,Nagpur,Normal,Female,Electronic accessories,41.65,10,2.08,437.33,1/13/2019,17:04,Credit card,6.25
556-86-3144,C,Nagpur,Member,Female,Fashion accessories,74.29,1,3.71,78,1/13/2019,19:30,Cash,16.34
459-50-7686,A,Chennai,Normal,Female,Electronic accessories,23.46,6,1.17,147.8,1/13/2019,19:14,Ewallet,5.16
339-38-9982,B,Mumbai,Member,Male,Fashion accessories,59.86,2,2.99,125.71,1/13/2019,14:55,Ewallet,12.57
355-34-6244,B,Mumbai,Normal,Male,Food and beverages,72.39,2,3.62,152.02,1/13/2019,19:55,Credit card,13.03
327-40-9673,B,Mumbai,Member,Male,Sports and travel,72.6,6,3.63,457.38,1/13/2019,19:51,Cash,10.89
460-93-5834,A,Chennai,Normal,Male,Sports and travel,45.58,7,2.28,335.01,1/13/2019,10:03,Cash,9.12
397-25-8725,A,Chennai,Member,Female,Health and beauty,39.62,9,1.98,374.41,1/13/2019,17:54,Credit card,7.92
784-08-0310,C,Nagpur,Member,Female,Food and beverages,21.04,4,1.05,88.37,1/13/2019,13:58,Cash,4.42
195-06-0432,A,Chennai,Member,Male,Home and lifestyle,81.01,3,4.05,255.18,1/13/2019,12:55,Credit card,15.39
426-39-2418,C,Nagpur,Normal,Male,Electronic accessories,61.41,7,3.07,451.36,1/14/2019,10:02,Cash,11.05
785-13-7708,B,Mumbai,Normal,Male,Food and beverages,73.06,7,3.65,536.99,1/14/2019,19:06,Credit card,11.69
667-23-5919,A,Chennai,Member,Female,Fashion accessories,96.7,5,4.84,507.68,1/14/2019,12:52,Ewallet,22.24
868-52-7573,B,Mumbai,Normal,Female,Food and beverages,99.69,5,4.98,523.37,1/14/2019,12:09,Cash,16.95
592-34-6155,C,Nagpur,Normal,Male,Food and beverages,31.77,4,1.59,133.43,1/14/2019,14:43,Ewallet,6.67
359-90-3665,B,Mumbai,Member,Female,Fashion accessories,18.08,4,0.9,75.94,1/14/2019,18:03,Credit card,3.44
588-47-8641,A,Chennai,Member,Male,Fashion accessories,56.04,10,2.8,588.42,1/14/2019,19:30,Ewallet,8.97
320-85-2052,B,Mumbai,Normal,Female,Sports and travel,34.81,1,1.74,36.55,1/14/2019,10:11,Credit card,5.22
451-73-2711,C,Nagpur,Normal,Male,Food and beverages,84.83,1,4.24,89.07,1/14/2019,15:20,Ewallet,16.97
704-10-4056,C,Nagpur,Member,Male,Health and beauty,60.47,3,3.02,190.48,1/14/2019,10:55,Credit card,9.68
559-61-5987,B,Mumbai,Normal,Female,Health and beauty,17.75,1,0.89,18.64,1/14/2019,10:38,Cash,3.2
658-66-3967,C,Nagpur,Normal,Male,Health and beauty,53.19,7,2.66,390.95,1/14/2019,15:42,Ewallet,10.11
377-79-7592,C,Nagpur,Member,Female,Electronic accessories,44.84,9,2.24,423.74,1/14/2019,14:00,Credit card,9.86
299-46-1805,B,Mumbai,Member,Female,Sports and travel,93.72,6,4.69,590.44,1/15/2019,16:19,Cash,19.68
272-65-1806,A,Chennai,Normal,Female,Electronic accessories,60.88,9,3.04,575.32,1/15/2019,17:17,Ewallet,10.96
437-58-8131,B,Mumbai,Normal,Female,Fashion accessories,73.52,2,3.68,154.39,1/15/2019,13:41,Ewallet,13.97
450-28-2866,C,Nagpur,Member,Male,Food and beverages,17.44,5,0.87,91.56,1/15/2019,19:25,Cash,3.49
138-17-5109,A,Chennai,Member,Female,Home and lifestyle,89.21,9,4.46,843.03,1/15/2019,15:42,Credit card,16.95
138-17-5109,A,Chennai,Normal,Female,Sports and travel,19.1,7,0.96,140.39,1/15/2019,10:43,Cash,3.25
589-02-8023,A,Chennai,Member,Male,Food and beverages,83.77,2,4.19,175.92,1/15/2019,10:54,Credit card,15.08
188-55-0967,B,Mumbai,Member,Male,Health and beauty,66.47,10,3.32,697.94,1/15/2019,15:01,Credit card,11.3
188-55-0967,B,Mumbai,Normal,Male,Electronic accessories,75.66,5,3.78,397.22,1/15/2019,18:22,Ewallet,16.65
314-23-4520,C,Nagpur,Member,Male,Health and beauty,81.23,7,4.06,597.04,1/15/2019,20:44,Cash,13
886-54-6089,A,Chennai,Normal,Female,Home and lifestyle,11.43,6,0.57,72.01,1/15/2019,17:24,Cash,2.17
744-16-7898,B,Mumbai,Normal,Female,Home and lifestyle,97.37,10,4.87,"1,022.39",1/15/2019,13:48,Credit card,18.5
660-29-7083,C,Nagpur,Normal,Male,Electronic accessories,55.87,10,2.79,586.64,1/15/2019,15:01,Cash,9.5
659-65-8956,B,Mumbai,Member,Male,Fashion accessories,51.36,1,2.57,53.93,1/16/2019,15:26,Ewallet,8.22
234-65-2137,C,Nagpur,Normal,Male,Home and lifestyle,95.58,10,4.78,"1,003.59",1/16/2019,13:32,Cash,15.29
234-65-2137,C,Nagpur,Normal,Female,Food and beverages,93.26,9,4.66,881.31,1/16/2019,18:08,Cash,20.52
347-72-6115,B,Mumbai,Member,Female,Sports and travel,90.74,7,4.54,666.94,1/16/2019,18:03,Credit card,17.24
286-62-6248,B,Mumbai,Normal,Male,Fashion accessories,39.21,4,1.96,164.68,1/16/2019,20:03,Credit card,6.27
859-71-0933,C,Nagpur,Member,Female,Sports and travel,15.49,2,0.77,32.53,1/16/2019,15:10,Cash,2.48
842-29-4695,C,Nagpur,Member,Male,Sports and travel,17.14,7,0.86,125.98,1/16/2019,12:07,Credit card,3.6
648-83-1321,A,Chennai,Member,Male,Home and lifestyle,63.56,10,3.18,667.38,1/16/2019,17:59,Cash,10.17
372-62-5264,C,Nagpur,Normal,Female,Food and beverages,52.6,9,2.63,497.07,1/16/2019,14:42,Cash,8.42
618-34-8551,A,Chennai,Normal,Female,Sports and travel,93.18,2,4.66,195.68,1/16/2019,18:41,Credit card,14.91
280-35-5823,B,Mumbai,Member,Female,Home and lifestyle,86.72,1,4.34,91.06,1/17/2019,18:45,Ewallet,13.88
746-54-5508,A,Chennai,Normal,Male,Home and lifestyle,21.52,6,1.08,135.58,1/17/2019,12:48,Credit card,4.3
600-38-9738,C,Nagpur,Member,Male,Sports and travel,71.92,5,3.6,377.58,1/17/2019,15:05,Credit card,12.95
698-98-5964,A,Chennai,Normal,Female,Food and beverages,81.21,10,4.06,852.71,1/17/2019,13:01,Credit card,17.87
349-97-8902,B,Mumbai,Member,Male,Food and beverages,57.89,2,2.89,121.57,1/17/2019,10:37,Ewallet,12.74
670-79-6321,B,Mumbai,Member,Female,Home and lifestyle,94.59,7,4.73,695.24,1/17/2019,15:27,Credit card,18.92
679-22-6530,B,Mumbai,Normal,Female,Sports and travel,40.62,2,2.03,85.3,1/17/2019,10:01,Credit card,8.94
445-30-9252,A,Chennai,Normal,Male,Sports and travel,25.7,3,1.29,80.96,1/17/2019,17:59,Ewallet,5.4
200-16-5952,C,Nagpur,Member,Male,Food and beverages,65.65,2,3.28,137.87,1/17/2019,16:46,Cash,15.1
497-37-6538,A,Chennai,Normal,Male,Sports and travel,58.91,7,2.95,432.99,1/17/2019,15:15,Ewallet,11.78
101-81-4070,C,Nagpur,Member,Female,Health and beauty,62.82,2,3.14,131.92,1/17/2019,12:36,Ewallet,13.82
700-81-1757,A,Chennai,Normal,Female,Electronic accessories,26.31,5,1.32,138.13,1/18/2019,20:59,Credit card,4.74
414-12-7047,B,Mumbai,Normal,Male,Food and beverages,19.79,8,0.99,166.24,1/18/2019,12:04,Ewallet,2.97
622-20-1945,C,Nagpur,Normal,Female,Health and beauty,39.42,1,1.97,41.39,1/18/2019,15:08,Cash,7.1
706-36-6154,A,Chennai,Member,Male,Home and lifestyle,19.36,9,0.97,182.95,1/18/2019,18:43,Ewallet,4.45
562-12-5430,A,Chennai,Member,Female,Fashion accessories,88.15,3,4.41,277.67,1/18/2019,10:11,Ewallet,19.39
821-14-9046,B,Mumbai,Member,Female,Fashion accessories,17.48,6,0.87,110.12,1/18/2019,15:04,Credit card,2.62
678-79-0726,C,Nagpur,Member,Female,Sports and travel,90.63,9,4.53,856.45,1/18/2019,15:28,Cash,19.03
166-19-2553,A,Chennai,Member,Male,Sports and travel,89.06,6,4.45,561.08,1/18/2019,17:26,Cash,15.14
781-84-8059,C,Nagpur,Normal,Male,Fashion accessories,60.74,7,3.04,446.44,1/18/2019,16:23,Ewallet,9.11
645-44-1170,A,Chennai,Member,Male,Home and lifestyle,58.07,9,2.9,548.76,1/19/2019,20:07,Ewallet,8.71
894-41-5205,C,Nagpur,Normal,Female,Food and beverages,43.18,8,2.16,362.71,1/19/2019,19:39,Credit card,9.07
796-32-9050,A,Chennai,Normal,Male,Food and beverages,51.28,6,2.56,323.06,1/19/2019,16:31,Cash,9.23
608-27-6295,B,Mumbai,Member,Male,Electronic accessories,52.89,6,2.64,333.21,1/19/2019,17:34,Credit card,7.93
779-06-0012,C,Nagpur,Member,Female,Home and lifestyle,88.61,1,4.43,93.04,1/19/2019,10:21,Cash,17.72
882-40-4577,A,Chennai,Member,Male,Sports and travel,67.26,4,3.36,282.49,1/19/2019,15:28,Credit card,10.76
375-72-3056,B,Mumbai,Normal,Male,Sports and travel,63.06,3,3.15,198.64,1/19/2019,15:58,Ewallet,11.98
284-54-4231,C,Nagpur,Member,Male,Sports and travel,80.93,1,4.05,84.98,1/19/2019,16:08,Credit card,13.76
149-61-1929,A,Chennai,Normal,Male,Sports and travel,64.19,10,3.21,674,1/19/2019,14:08,Credit card,12.2
482-17-1179,A,Chennai,Member,Male,Electronic accessories,11.94,3,0.6,37.61,1/19/2019,12:47,Credit card,2.27
832-51-6761,A,Chennai,Normal,Male,Food and beverages,33.88,8,1.69,284.59,1/19/2019,20:29,Ewallet,5.42
125-45-2293,A,Chennai,Normal,Female,Fashion accessories,99.1,6,4.96,624.33,1/19/2019,13:11,Cash,18.83
761-49-0439,B,Mumbai,Member,Female,Electronic accessories,12.1,8,0.61,101.64,1/19/2019,10:17,Ewallet,2.3
151-27-8496,C,Nagpur,Normal,Female,Electronic accessories,56.13,4,2.81,235.75,1/19/2019,11:43,Ewallet,12.91
809-69-9497,A,Chennai,Normal,Female,Home and lifestyle,45.68,10,2.28,479.64,1/19/2019,19:30,Ewallet,9.14
728-47-9078,C,Nagpur,Member,Male,Food and beverages,59.59,4,2.98,250.28,1/19/2019,12:46,Cash,13.71
809-69-9497,A,Chennai,Member,Female,Home and lifestyle,72.35,10,3.62,759.68,1/20/2019,15:55,Cash,11.58
378-24-2715,B,Mumbai,Normal,Male,Home and lifestyle,53.44,2,2.67,112.22,1/20/2019,20:38,Ewallet,9.08
645-78-8093,A,Chennai,Normal,Female,Sports and travel,93.14,2,4.66,195.59,1/20/2019,18:09,Ewallet,17.7
725-96-3778,C,Nagpur,Member,Female,Home and lifestyle,89.25,8,4.46,749.7,1/20/2019,10:13,Cash,16.96
257-73-1380,C,Nagpur,Member,Male,Sports and travel,82.93,4,4.15,348.31,1/20/2019,16:51,Ewallet,19.07
356-44-8813,B,Mumbai,Normal,Male,Home and lifestyle,37.48,3,1.87,118.06,1/20/2019,13:45,Credit card,6.75
760-27-5490,C,Nagpur,Normal,Male,Fashion accessories,15.62,8,0.78,131.21,1/20/2019,20:37,Ewallet,3.12
410-67-1709,A,Chennai,Member,Female,Fashion accessories,63.88,8,3.19,536.59,1/20/2019,17:48,Ewallet,10.22
787-87-2010,A,Chennai,Member,Male,Health and beauty,55.5,4,2.78,233.1,1/20/2019,15:48,Credit card,11.66
458-10-8612,C,Nagpur,Normal,Male,Health and beauty,64.08,7,3.2,470.99,1/20/2019,12:27,Ewallet,10.89
329-62-1586,A,Chennai,Normal,Male,Food and beverages,54.67,3,2.73,172.21,1/21/2019,18:00,Credit card,9.29
870-72-4431,C,Nagpur,Normal,Female,Health and beauty,99.19,6,4.96,624.9,1/21/2019,14:42,Credit card,16.86
239-10-7476,A,Chennai,Normal,Female,Home and lifestyle,77.95,6,3.9,491.09,1/21/2019,16:37,Ewallet,12.47
316-68-6352,A,Chennai,Member,Female,Food and beverages,36.36,2,1.82,76.36,1/21/2019,10:00,Cash,6.18
462-67-9126,A,Chennai,Normal,Male,Home and lifestyle,73.22,6,3.66,461.29,1/21/2019,17:44,Cash,13.18
269-10-8440,A,Chennai,Member,Male,Health and beauty,53.17,7,2.66,390.8,1/21/2019,18:01,Cash,10.1
401-18-8016,B,Mumbai,Member,Female,Sports and travel,98.13,1,4.91,103.04,1/21/2019,17:36,Cash,18.64
162-65-8559,C,Nagpur,Member,Male,Food and beverages,68.98,1,3.45,72.43,1/21/2019,20:13,Cash,12.42
287-21-9091,A,Chennai,Normal,Male,Home and lifestyle,74.67,9,3.73,705.63,1/22/2019,10:55,Ewallet,11.2
756-01-7507,C,Nagpur,Normal,Female,Health and beauty,20.38,5,1.02,107,1/22/2019,18:56,Cash,3.67
